# Misspelling test pairs
# Format: misspelled_word,correct_word
helo,hello
wrold,world
algoritm,algorithm
programing,programming
speling,spelling
recieve,receive
occured,occurred
seperate,separate
definately,definitely
accomodate,accommodate
thier,their
wierd,weird
freind,friend
beleive,believe
enviroment,environment
goverment,government
necesary,necessary
succesful,successful
tommorow,tomorrow
untill,until
begining,beginning
calender,calendar
commited,committed
diferent,different
dissapear,disappear
embarass,embarrass
existance,existence
familar,familiar
foriegn,foreign
grammer,grammar
harrass,harass
immediatly,immediately
independant,independent
knowlege,knowledge
liason,liaison
mispell,misspell
noticable,noticeable
occurence,occurrence
parliment,parliament
perseverance,perseverance
posession,possession
prefered,preferred
priviledge,privilege
pronounciation,pronunciation
recomend,recommend
refered,referred
relevent,relevant
rythm,rhythm
seize,seize
supercede,supersede
truely,truly
underate,underrate
vaccuum,vacuum
wierd,weird
yeild,yield
